Sample_Index, I, Q
0, 133, 119
1, 130, 122
2, 128, 124
3, 126, 127
4, 125, 126
5, 127, 126
6, 130, 126
7, 130, 127
8, 128, 123
9, 127, 123
10, 123, 126
11, 126, 132
12, 131, 132
13, 128, 128
14, 126, 125
15, 126, 125
16, 128, 128
17, 127, 127
18, 126, 128
19, 126, 126
20, 128, 125
21, 130, 120
22, 122, 120
23, 125, 124
24, 126, 128
25, 125, 131
26, 126, 128
27, 128, 125
28, 124, 126
29, 122, 126
30, 126, 128
31, 128, 128
32, 131, 125
33, 130, 123
34, 127, 123
35, 124, 124
36, 124, 126
37, 129, 128
38, 129, 124
39, 127, 127
40, 131, 126
41, 126, 121
42, 124, 122
43, 123, 123
44, 124, 127
45, 126, 128
46, 127, 127
47, 126, 127
48, 124, 130
49, 126, 128
50, 123, 126
51, 127, 128
52, 129, 130
53, 128, 125
54, 130, 124
55, 126, 126
56, 125, 127
57, 124, 124
58, 121, 128
59, 124, 125
60, 129, 128
61, 127, 130
62, 128, 126
63, 128, 122
64, 125, 124
65, 123, 128
66, 122, 131
67, 125, 124
68, 125, 128
69, 124, 128
70, 122, 126
71, 122, 129
72, 128, 128
73, 132, 123
74, 129, 125
75, 126, 125
76, 124, 124
77, 126, 130
78, 127, 130
79, 127, 128
80, 128, 128
81, 128, 127
82, 126, 127
83, 127, 129
84, 128, 131
85, 129, 127
86, 131, 127
87, 129, 127
88, 127, 128
89, 125, 130
90, 128, 131
91, 131, 132
92, 124, 130
93, 131, 124
94, 131, 126
95, 125, 127
96, 125, 127
97, 128, 125
98, 125, 126
99, 126, 125
100, 127, 128
101, 123, 131
102, 123, 134
103, 127, 134
104, 128, 133
105, 129, 127
106, 124, 125
107, 126, 125
108, 129, 128
109, 124, 129
110, 128, 129
111, 128, 127
112, 130, 127
113, 128, 126
114, 132, 122
115, 128, 122
116, 127, 125
117, 125, 130
118, 128, 128
119, 129, 127
120, 129, 126
121, 132, 128
122, 126, 127
123, 124, 128
124, 125, 129
125, 128, 129
126, 129, 132
127, 129, 130
128, 132, 130
129, 129, 126
130, 123, 127
131, 124, 126
132, 128, 129
133, 129, 132
134, 129, 135
135, 132, 131
136, 131, 125
137, 129, 128
138, 124, 124
139, 125, 128
140, 128, 128
141, 127, 126
142, 127, 125
143, 126, 124
144, 128, 128
145, 129, 126
146, 124, 125
147, 124, 128
148, 124, 130
149, 124, 130
150, 128, 127
151, 129, 127
152, 128, 128
153, 128, 125
154, 127, 130
155, 132, 128
156, 128, 127
157, 130, 130
158, 129, 127
159, 130, 126
160, 130, 125
161, 124, 126
162, 124, 132
163, 127, 128
164, 130, 124
165, 127, 128
166, 127, 125
167, 124, 127
168, 122, 127
169, 123, 125
170, 126, 127
171, 126, 127
172, 125, 128
173, 129, 126
174, 129, 125
175, 122, 127
176, 128, 130
177, 125, 129
178, 129, 129
179, 131, 127
180, 130, 128
181, 130, 128
182, 126, 126
183, 127, 132
184, 125, 132
185, 128, 128
186, 125, 127
187, 122, 127
188, 124, 126
189, 127, 127
190, 127, 125
191, 124, 128
192, 126, 125
193, 124, 121
194, 123, 125
195, 124, 127
196, 127, 125
197, 128, 125
198, 123, 123
199, 123, 127
200, 126, 127
201, 126, 126
202, 125, 128
203, 122, 127
204, 128, 127
205, 123, 131
206, 123, 134
207, 130, 128
208, 129, 122
209, 131, 124
210, 127, 127
211, 127, 125
212, 125, 124
213, 126, 126
214, 129, 127
215, 127, 126
216, 126, 126
217, 127, 124
218, 128, 122
219, 124, 121
220, 124, 125
221, 125, 132
222, 125, 128
223, 127, 127
224, 130, 124
225, 127, 129
226, 126, 126
227, 124, 123
228, 125, 127
229, 124, 126
230, 124, 127
231, 127, 126
232, 129, 127
233, 128, 128
234, 127, 129
235, 127, 128
236, 127, 127
237, 126, 124
238, 125, 128
239, 126, 130
240, 127, 129
241, 128, 131
242, 127, 127
243, 129, 126
244, 128, 130
245, 129, 129
246, 122, 126
247, 127, 133
248, 126, 132
249, 128, 129
250, 130, 125
251, 127, 123
252, 124, 120
253, 126, 126
254, 125, 127
255, 125, 129
256, 126, 128
257, 128, 125
258, 125, 122
259, 124, 125
260, 127, 128
261, 131, 125
262, 128, 120
263, 126, 127
264, 130, 127
265, 126, 125
266, 128, 122
267, 125, 128
268, 124, 126
269, 128, 127
270, 128, 130
271, 127, 127
272, 127, 126
273, 128, 127
274, 128, 128
275, 126, 122
276, 121, 124
277, 121, 127
278, 127, 124
279, 125, 126
280, 127, 127
281, 130, 127
282, 128, 132
283, 125, 132
284, 126, 130
285, 133, 126
286, 132, 122
287, 127, 122
288, 123, 128
289, 121, 123
290, 129, 127
291, 128, 127
292, 121, 125
293, 124, 126
294, 127, 126
