Sample_Index,Value
0,0
1,14067
2,14772
3,-32768
4,-9316
5,-1030
6,3544
7,10980
8,5635
9,4773
10,8111
11,5674
12,5093
13,2823
14,1956
15,-3666
16,1449
17,-938
18,851
19,-1550
20,2060
21,892
22,-5201
23,931
24,212
25,3175
26,-3548
27,1557
28,-496
29,477
30,2509
31,3549
32,5820
33,9079
34,9063
35,4462
36,9243
37,5105
38,4137
39,3627
40,4415
41,1442
42,4431
43,10063
44,7238
45,12602
46,7975
47,9420
48,7907
49,8938
50,-814
51,-292
52,-3640
53,1646
54,1642
55,3418
56,6774
57,3378
58,8258
59,1689
60,5806
61,3218
62,1589
63,4263
64,4760
65,5398
66,7384
67,7030
68,6008
69,10888
70,1896
71,7485
72,1822
73,6767
74,2158
75,1644
76,4496
77,6478
78,7802
79,2792
80,2959
81,-2256
82,-2941
83,-4929
84,-1110
85,-2165
86,-798
87,-1373
88,1054
89,3161
90,-868
91,1400
92,-927
93,-452
94,-7091
95,-634
96,-3763
97,-5011
98,-10297
99,-6383
100,735
101,-4354
102,-1138
103,-5349
104,-4074
105,-826
106,6827
107,-2450
108,-2675
109,-9289
110,-77
111,6865
112,5405
113,2655
114,-1868
115,12904
116,9575
117,14075
118,14016
119,13869
120,11633
121,13147
122,13377
123,9815
124,430
125,-5459
126,4460
127,6825
128,7497
129,-3059
130,-2918
131,-2946
132,9208
133,9642
134,-1189
135,-2262
136,-10533
137,-6898
138,-10898
139,-11650
140,-14404
141,-14138
142,-12879
143,-7777
144,-6800
145,-6800
146,-11175
147,-15225
148,-6457
149,-6506
150,-1866
151,-12234
152,-9595
153,-141
154,5908
155,4666
156,1156
157,1547
158,5633
159,13583
160,11735
161,12582
162,7589
163,11664
164,8555
165,12226
166,11840
167,13050
168,13395
169,14465
170,16700
171,14159
172,12950
173,11318
174,10566
175,7822
176,10144
177,6157
178,2469
179,-526
180,-914
181,-142
182,1842
183,11139
184,596
185,4823
186,3181
187,513
188,11
189,-4463
190,-9293
191,-5513
192,-5068
193,-7194
194,80
195,-4729
196,5483
197,6298
198,9460
199,5257
200,6907
201,1366
202,-4606
203,-2187
204,-5313
205,-5230
206,-4839
207,-2409
208,-3291
209,2817
210,830
211,4569
212,-1543
213,-3721
214,-8251
215,-7741
216,-8385
217,-13245
218,-3510
219,-10032
220,-4620
221,-6150
222,-6989
223,-6805
224,-9974
225,-7464
226,-9576
227,-7989
228,-9709
229,-8841
230,-13814
231,-2693
232,-5850
233,1812
234,-2956
235,-852
236,3951
237,-3263
238,468
239,-3399
240,-2558
241,48
242,7422
243,-248
244,3809
245,-1757
246,-2001
247,-3645
248,-2379
249,-1238
250,-5175
251,270
252,-8514
253,-3022
254,-7878
255,-7802
256,-12496
257,-12102
258,-14535
259,-11454
260,-12308
261,-13353
262,-14300
263,-13385
264,-12417
265,-14423
266,-13046
267,-13022
268,-11570
269,-13298
270,-14948
271,-10888
272,-15158
273,-12622
274,-11582
275,-7617
276,-7693
277,-5140
278,-4882
279,1194
280,-2758
281,-3431
282,-4651
283,-4466
284,399
285,-5172
286,-749
287,-7212
288,-5433
289,-4873
290,-4254
291,-3286
292,-7092
293,-3023
294,-7151
295,-4601
296,-9575
297,-8350
298,-13841
299,-9688
300,-17555
301,-12046
302,-10762
303,-10388
304,-12472
305,-13489
306,-10828
307,-13727
308,-14472
309,-13155
310,-9878
311,-14252
312,-10846
313,-14380
314,-12067
315,-15000
316,-12258
317,-9554
318,-11939
319,-8072
320,-12665
321,-10632
322,-14273
323,-15383
324,-14262
325,-15019
326,-13807
327,-10479
328,-11553
329,-11584
330,-6127
331,-11472
332,-6289
333,-13563
334,-12828
335,-18789
336,-12059
337,-14722
338,-14278
339,-12741
340,-11414
341,-6367
342,-11757
343,-7186
344,-13778
345,-4497
346,-9352
347,-8622
348,-7992
349,-12026
350,-12293
351,-9586
352,-8404
353,-9501
354,-7766
355,-13399
356,-4527
357,-5838
358,-3739
359,-7369
360,-9101
361,-7849
362,-9118
363,-5773
364,-9137
365,-11145
366,-9184
367,-9047
368,-10070
369,-11956
370,-8311
371,-9238
372,-8614
373,-9683
374,-8902
375,-13475
376,-7958
377,-11957
378,-1005
379,-9702
380,-13249
381,-11372
382,-11970
383,-7887
384,-2735
385,-7106
386,-12901
387,-8828
388,-6982
