Sample_Index,Value
0,0
1,-3777
2,-363
3,8709
4,7381
5,6169
6,5525
7,7476
8,7322
9,6983
10,7836
11,7596
12,7159
13,6265
14,5298
15,2528
16,2365
17,1492
18,1327
19,714
20,847
21,887
22,-515
23,1
24,-383
25,660
26,-363
27,-12
28,-171
29,137
30,924
31,1817
32,3126
33,4972
34,6385
35,6256
36,7528
37,6835
38,6711
39,6001
40,5992
41,5026
42,5173
43,6606
44,7017
45,8958
46,9053
47,9678
48,9348
49,9095
50,6070
51,4408
52,1741
53,1797
54,2042
55,2487
56,3958
57,3776
58,5355
59,4200
60,4649
61,4395
62,3904
63,4058
64,4327
65,4704
66,5623
67,6279
68,6309
69,7827
70,6248
71,7084
72,5830
73,6003
74,5158
75,4738
76,5024
77,5793
78,6615
79,5700
80,5259
81,3041
82,1156
83,-703
84,-855
85,-1530
86,-1153
87,-1282
88,-667
89,866
90,178
91,503
92,57
93,-86
94,-2290
95,-1792
96,-2453
97,-3326
98,-5627
99,-6138
100,-4201
101,-4347
102,-3569
103,-4277
104,-4320
105,-3413
106,-573
107,-1081
108,-1816
109,-4106
110,-2979
111,-432
112,1477
113,1783
114,458
115,4136
116,6115
117,9274
118,10851
119,12191
120,12763
121,12960
122,13524
123,12939
124,9504
125,5180
126,5295
127,5886
128,6168
129,3573
130,1812
131,569
132,3415
133,5210
134,3502
135,2229
136,-1235
137,-3130
138,-5849
139,-7929
140,-10150
141,-11916
142,-12718
143,-11382
144,-10353
145,-9851
146,-10902
147,-12382
148,-11156
149,-10391
150,-8014
151,-9621
152,-9768
153,-7316
154,-3285
155,-1081
156,46
157,747
158,2738
159,6169
160,8315
161,9678
162,9491
163,10482
164,10353
165,11322
166,11894
167,12659
168,13174
169,13931
170,15383
171,15450
172,15387
173,14736
174,13923
175,12499
176,12189
177,10572
178,8569
179,6049
180,4104
181,3005
182,2518
183,5241
184,3957
185,4510
186,4109
187,3134
188,2387
189,169
190,-2690
191,-3697
192,-4360
193,-5294
194,-3691
195,-3972
196,-1036
197,1132
198,3801
199,4455
200,5244
201,4420
202,1800
203,583
204,-1440
205,-2384
206,-3491
207,-3147
208,-3295
209,-1215
210,-725
211,768
212,-30
213,-1374
214,-3402
215,-5070
216,-6034
217,-8146
218,-7008
219,-8154
220,-7511
221,-7444
222,-7701
223,-8088
224,-8944
225,-8857
226,-9747
227,-9864
228,-9932
229,-9788
230,-11197
231,-9065
232,-8484
233,-5927
234,-5410
235,-4219
236,-2013
237,-2714
238,-1538
239,-1845
240,-2354
241,-1509
242,1226
243,498
244,1724
245,731
246,-354
247,-1080
248,-1529
249,-1488
250,-2658
251,-2118
252,-4033
253,-4085
254,-5745
255,-6614
256,-8867
257,-10093
258,-11568
259,-12101
260,-12724
261,-13331
262,-14282
263,-14425
264,-14415
265,-15432
266,-14699
267,-14604
268,-13960
269,-14513
270,-15124
271,-14747
272,-15318
273,-14783
274,-14348
275,-12869
276,-11975
277,-10266
278,-8968
279,-6167
280,-5235
281,-4930
282,-4826
283,-5091
284,-3717
285,-4528
286,-3503
287,-5028
288,-5593
289,-5569
290,-5386
291,-5010
292,-5940
293,-5368
294,-6260
295,-6161
296,-7651
297,-8301
298,-10294
299,-10612
300,-12953
301,-13028
302,-12994
303,-12759
304,-13324
305,-14032
306,-13602
307,-14127
308,-14499
309,-14560
310,-13825
311,-14432
312,-13904
313,-14474
314,-13993
315,-15026
316,-14764
317,-13804
318,-13808
319,-12667
320,-13079
321,-12873
322,-14039
323,-14562
324,-14998
325,-15906
326,-15606
327,-14736
328,-14127
329,-13451
330,-11543
331,-11797
332,-10762
333,-12056
334,-12580
335,-14746
336,-14747
337,-15325
338,-15471
339,-15100
340,-14589
341,-12861
342,-13114
343,-11802
344,-12677
345,-10727
346,-10846
347,-10400
348,-10083
349,-11151
350,-11538
351,-11436
352,-11018
353,-11154
354,-10325
355,-10839
356,-9107
357,-8578
358,-7493
359,-7766
360,-8428
361,-8358
362,-8760
363,-8269
364,-8655
365,-9566
366,-10114
367,-10259
368,-10564
369,-11591
370,-11369
371,-11526
372,-11003
373,-11064
374,-10541
375,-11494
376,-10998
377,-11704
378,-9036
379,-9586
380,-10658
381,-11319
382,-12062
383,-11330
384,-9077
385,-8497
386,-10226
387,-10082
388,-9410
389,-6053
390,-6604
391,-8082
392,-9606
393,-9126
394,-6136
395,-4649
396,-3777
397,-3122
398,-608
399,2727
400,5854
401,6966
402,7061
403,5337
404,7164
405,9362
406,10173
407,6541
408,2990
409,3782
410,4127
411,5167
412,1908
413,-1835
414,-3210
415,-2111
416,-735
417,-1175
418,-3254
419,-6320
420,-8240
421,-9562
422,-10958
423,-12987
424,-13288
425,-14126
426,-14302
427,-14619
428,-14515
429,-14585
430,-15506
431,-14634
432,-14444
433,-13955
434,-14558
435,-15707
436,-15139
437,-12489
438,-10005
439,-7952
440,-6476
441,-4681
442,-679
443,2294
444,6449
445,5759
446,6664
447,6681
448,6971
449,7324
450,8616
451,8639
452,9953
453,11113
454,12984
455,14318
456,13616
457,12495
458,8662
459,9123
460,7300
461,6071
462,3535
463,1955
464,3235
465,2568
466,3805
467,4101
468,4249
469,3898
470,3950
471,1979
472,366
473,-2044
474,-3777
475,-5363
476,-5726
477,-4253
478,-4144
479,-2229
480,-915
481,2341
482,3590
483,5356
484,5277
485,4664
486,3408
487,2879
488,2931
489,1208
490,1318
491,37
492,1606
493,1556
494,3150
495,3141
496,3174
497,2543
498,921
499,92
500,-2304
501,-3087
502,-4000
503,-2847
504,-3756
505,-2240
506,-2937
507,-2487
508,-2539
509,-2082
510,-1016
511,-1757
512,-597
513,-1520
514,-699
515,910
516,3050
517,5267
518,5744
519,6018
520,6945
521,6768
522,6379
523,7789
524,7194
525,8033
526,8846
527,11561
528,11039
529,11060
530,10711
531,10203
532,10248
533,9291
534,8941
535,7395
536,7104
537,6144
538,5926
539,2685
540,962
541,-1393
542,-3680
543,-6019
544,-8189
545,-8776
546,-9421
547,-8772
548,-9377
549,-7300
550,-7253
551,-5766
552,-6877
553,-7825
554,-8773
555,-9857
556,-9734
557,-11156
558,-9740
559,-8113
560,-4250
561,-2549
562,367
563,1542
564,2897
565,3528
566,3995
567,3189
568,1955
569,2448
570,949
571,2162
572,1730
573,2731
574,3451
575,3348
576,1263
577,-41
578,-1318
579,-3855
580,-3710
581,-4882
582,-4765
583,-6258
584,-7392
585,-6085
586,-6050
587,-6560
588,-8627
589,-9616
590,-10103
591,-10131
592,-13583
593,-11048
594,-11410
595,-9190
596,-8421
597,-6951
598,-6150
599,-5983
600,-4881
601,-5788
602,-4697
603,-4736
604,-4685
605,-4184
606,-3031
607,-4250
608,-2514
609,-3386
610,-3488
611,-2111
612,-2012
613,-1131
614,-447
615,1462
616,869
617,1792
618,1171
619,1427
620,-184
621,-628
622,-99
623,-968
624,-361
625,-225
626,268
627,884
628,2450
629,2693
630,4307
631,3855
632,4793
633,4346
634,3971
635,3660
636,3549
637,4860
638,4498
639,5900
640,6535
641,6884
642,7011
643,6558
644,5727
645,5368
646,5360
647,4555
648,3951
649,1947
650,3464
651,3098
652,3683
653,3222
654,2657
655,1994
656,2032
657,590
658,-1725
659,-2125
660,-2639
661,428
662,738
663,411
664,-1392
665,-1470
666,-105
667,1371
668,1084
669,-695
670,-1570
671,-2012
672,249
673,512
674,-699
675,-3725
676,-1874
677,-1
678,1638
679,2728
680,1653
681,3583
682,6659
683,8613
684,9573
685,11232
686,11571
687,12490
688,13277
689,13268
690,10091
691,6282
692,5362
693,5626
694,7846
695,6411
696,5789
697,4632
698,6100
699,7238
700,7042
701,4912
702,2256
703,-524
704,-4553
705,-5621
706,-7953
707,-9041
708,-10422
709,-7637
710,-6748
711,-5495
712,-6703
713,-8032
714,-6971
715,-6261
716,-5589
717,-6996
718,-8965
719,-8454
720,-4976
721,-3319
722,-27
723,2696
724,6288
725,9177
726,10653
727,11874
728,12054
729,13534
730,12355
731,13725
732,13429
733,13865
734,14856
735,14379
736,15724
737,15211
738,16288
739,15752
740,15037
741,14538
742,14462
743,13286
744,12427
745,11688
746,11833
747,11521
748,11852
749,13524
750,13461
751,13973
752,13678
753,12646
754,10327
755,9639
756,7812
757,7182
758,7310
759,7463
760,9309
761,10247
762,11218
763,12273
764,12243
765,13084
766,12811
767,13327
768,13918
769,14505
770,15147
771,15346
772,15503
773,15350
774,14012
775,13717
776,13669
777,13466
778,12846
779,12226
780,11432
781,11251
782,10856
783,10469
784,10377
785,7514
786,7310
787,5213
788,4657
789,2105
790,1263
791,1420
792,3082
793,5704
794,6108
795,7130
796,6363
797,6121
798,6031
799,8572
800,7599
801,9326
802,10602
803,11350
804,12330
805,13500
806,15098
807,14224
808,15849
809,15432
810,15749
811,14450
812,14435
813,14141
814,14677
815,15158
816,15207
817,14071
818,13645
819,13722
820,10985
821,10481
822,7890
823,6462
824,4994
825,3443
826,1451
827,-327
828,-1370
829,-2089
830,-1773
831,-1973
832,-135
833,-828
834,593
835,307
836,293
837,411
838,5
839,-308
840,-793
841,255
842,1094
843,4089
844,5361
845,7536
846,7507
847,10042
848,10212
849,10432
850,11305
851,10496
852,11145
853,10310
854,10948
855,10204
856,10596
857,10293
858,11520
859,11253
860,10910
861,10687
862,9427
863,9653
864,8133
865,8501
866,7729
867,7223
868,6948
869,6420
870,5857
871,6005
872,5223
873,5457
874,4828
875,3087
876,3793
877,2279
878,3555
879,3130
880,4405
881,5324
882,6472
883,7925
884,7824
885,9871
886,9422
887,9201
888,9177
889,9497
890,8713
891,9538
892,8250
893,8122
894,8244
895,7428
896,7932
897,8511
898,9916
899,9592
900,9559
901,9018
902,8179
903,5843
904,5716
905,4968
906,4833
907,5461
908,5327
909,5696
910,6359
911,6413
912,5930
913,6499
914,8258
915,9246
916,8757
917,8767
918,7372
919,5937
920,6469
921,4862
922,6502
923,6099
924,7440
925,7857
926,7613
927,7942
928,8181
929,7102
930,6004
931,5890
932,4341
933,5677
934,4189
935,4483
936,4205
937,4215
938,4458
939,2497
940,-812
941,-2641
942,-4508
943,-5797
944,-4168
945,-3995
946,-2900
947,-5038
948,-4003
949,-2723
950,-1044
951,-1688
952,-3901
953,-5551
954,-5276
955,-3880
956,-3992
957,-5154
958,-7479
959,-5827
960,-3743
961,-2011
962,-3324
963,-3761
964,-1263
965,3703
966,6745
967,7423
968,8938
969,9624
970,11273
971,13336
972,12642
973,8702
974,3510
975,584
976,1668
977,2402
978,276
979,-1093
980,-2935
981,-681
982,1447
983,1990
984,-474
985,-4470
986,-6410
987,-8278
988,-10376
989,-12868
990,-13994
991,-14860
992,-14712
993,-14091
994,-13125
995,-14120
996,-14828
997,-15072
998,-15430
999,-15911
1000,-17461
1001,-16814
1002,-15841
1003,-13103
1004,-10466
1005,-7502
1006,-7595
1007,-6029
1008,-3005
1009,-891
1010,2491
1011,2696
1012,3605
1013,4394
1014,4988
1015,2975
1016,4173
1017,3844
1018,5741
1019,7596
