Sample_Index,Value
0,0.07889817
1,0.12542845
2,0.22020398
3,0.26954240
4,0.24601596
5,0.17997943
6,0.08071210
7,0.18668304
8,0.14732133
9,0.15698944
10,0.18109863
11,0.12012527
12,0.14206782
13,0.01545071
14,0.08797750
15,-0.03357441
16,0.02239598
17,-0.03641048
18,-0.00901179
19,-0.03239563
20,0.01527694
21,0.02000070
22,-0.06403465
23,0.05024550
24,-0.01813804
25,0.05582843
26,-0.06416332
27,0.02661679
28,-0.03040657
29,0.08027921
30,0.06317386
31,0.07061713
32,0.16126944
33,0.15553844
34,0.22724131
35,0.13606134
36,0.21773781
37,0.08656583
38,0.17217177
39,0.11385250
40,0.15846945
41,0.10834570
42,0.13601224
43,0.15464605
44,0.16128876
45,0.22661451
46,0.14641272
47,0.23005530
48,0.16567217
49,0.23289632
50,0.12170225
51,0.12780232
52,0.00022241
53,0.02300768
54,0.02706591
55,0.01863702
56,0.09519834
57,0.07555523
58,0.16763830
59,0.08614429
60,0.20467653
61,0.15636643
62,0.21529530
63,0.12557014
64,0.13942802
65,0.10967835
66,0.11085846
67,0.13342260
68,0.08949940
69,0.16768546
70,0.08121287
71,0.22559138
72,0.16773144
73,0.23448338
74,0.14836537
75,0.16097769
76,0.11588128
77,0.11160494
78,0.09258048
79,0.00983682
80,0.04941541
81,-0.08067579
82,0.01262524
83,-0.05863861
84,0.03832297
85,-0.00969898
86,0.01635521
87,-0.04351413
88,-0.02880479
89,0.04191679
90,-0.04292604
91,-0.00476780
92,-0.05219023
93,0.02800640
94,-0.12064676
95,0.02657639
96,-0.02573498
97,-0.13846380
98,-0.25035171
99,-0.15290567
100,-0.03262685
101,-0.04838636
102,-0.05500459
103,-0.19447987
104,-0.06895276
105,-0.03503806
106,0.13578327
107,-0.02882331
108,-0.08605096
109,-0.15368887
110,-0.01301633
111,0.12350393
112,0.05943160
113,0.01087973
114,0.00876939
115,0.26384680
116,0.28029140
117,0.35727228
118,0.28303202
119,0.32428885
120,0.29942317
121,0.32123885
122,0.33600155
123,0.23870627
124,-0.00427288
125,-0.18546439
126,0.07990943
127,0.15118640
128,0.18191237
129,-0.02734148
130,-0.02767868
131,0.01798256
132,0.20530757
133,0.20016207
134,0.02840314
135,-0.10097936
136,-0.18514826
137,-0.13020385
138,-0.31203465
139,-0.31889141
140,-0.39169035
141,-0.33350412
142,-0.34757409
143,-0.21774451
144,-0.19437932
145,-0.21915084
146,-0.27457053
147,-0.32060130
148,-0.18274726
149,-0.16482148
150,-0.11712364
151,-0.30822589
152,-0.23102265
153,-0.12762472
154,0.11035649
155,0.10433595
156,0.08781362
157,0.11437562
158,0.18293351
159,0.32478434
160,0.27924602
161,0.32730471
162,0.19682416
163,0.25566517
164,0.24537987
165,0.30551255
166,0.29132503
167,0.31488707
168,0.35274836
169,0.33809842
170,0.38943329
171,0.36625622
172,0.37590569
173,0.28139646
174,0.28777181
175,0.18590132
176,0.22935868
177,0.10323253
178,0.05626747
179,0.02988236
180,0.01422640
181,0.09668056
182,0.09605218
183,0.22388080
184,0.10699584
185,0.13361490
186,-0.00137102
187,0.05754616
188,-0.05558812
189,-0.12254465
190,-0.21088907
191,-0.20852687
192,-0.12550842
193,-0.13489707
194,-0.02441753
195,-0.07355426
196,0.07816514
197,0.03585388
198,0.15915279
199,0.11651387
200,0.09749621
201,0.04803309
202,-0.00506313
203,-0.01958752
204,-0.07390709
205,-0.01858894
206,-0.10397350
207,0.00152506
208,-0.09668390
209,0.04894408
210,0.00893372
211,0.02084180
212,-0.07854275
213,-0.07352932
214,-0.07595349
215,-0.16688678
216,-0.14745087
217,-0.25090009
218,-0.18091325
219,-0.26848977
220,-0.21878963
221,-0.28261948
222,-0.23836554
223,-0.25729726
224,-0.23628616
225,-0.20452688
226,-0.23081148
227,-0.18306188
228,-0.23396139
229,-0.18499666
230,-0.26807900
231,-0.13562903
232,-0.15190165
233,-0.05054472
234,-0.09896788
235,-0.04737248
236,-0.01888423
237,-0.01355846
238,0.04555397
239,-0.07297271
240,-0.00704797
241,-0.05593382
242,0.06700232
243,-0.03827238
244,0.03274545
245,-0.03580141
246,-0.01632630
247,-0.03097240
248,-0.03602250
249,0.02874156
250,-0.03104018
251,0.01387841
252,-0.14231959
253,-0.12202188
254,-0.23215268
255,-0.22648635
256,-0.32894748
257,-0.31252814
258,-0.31739405
259,-0.33423734
260,-0.32428144
261,-0.34823534
262,-0.31840356
263,-0.35190692
264,-0.29115377
265,-0.35154182
266,-0.28792599
267,-0.30141673
268,-0.27094954
269,-0.30399555
270,-0.32990469
271,-0.31024310
272,-0.32774420
273,-0.27406933
274,-0.31097213
275,-0.18336149
276,-0.23373648
277,-0.14040950
278,-0.14825149
279,-0.04094886
280,-0.06037252
281,-0.06133157
282,-0.05352039
283,-0.11483483
284,-0.02695918
285,-0.13018271
286,-0.06406125
287,-0.17960644
288,-0.11409039
289,-0.17015432
290,-0.08563601
291,-0.14173642
292,-0.14845126
293,-0.16002655
294,-0.20623234
295,-0.18779550
296,-0.27033788
297,-0.23661327
