Sample_Index,Value
0,0.02160663
1,0.05153797
2,0.09491862
3,0.14458359
4,0.17407702
5,0.16968597
6,0.15451323
7,0.15390740
8,0.15848497
9,0.15711447
10,0.15876284
11,0.15785355
12,0.14137944
13,0.11956199
14,0.09912248
15,0.07334844
16,0.05013062
17,0.03428885
18,0.01664131
19,0.00602508
20,0.00963987
21,0.00718626
22,-0.00316561
23,-0.00055584
24,0.00832871
25,0.00724006
26,0.00120255
27,-0.00385221
28,-0.00140676
29,0.01447140
30,0.03042427
31,0.04319912
32,0.06961734
33,0.10260821
34,0.12502992
35,0.14105545
36,0.14903492
37,0.14429558
38,0.14091240
39,0.14284717
40,0.14012114
41,0.13574327
42,0.13468392
43,0.13797151
44,0.14980708
45,0.16285264
46,0.16831706
47,0.17430662
48,0.18322407
49,0.18593941
50,0.17854855
51,0.15589726
52,0.11988502
53,0.08967530
54,0.07247452
55,0.06177765
56,0.06314445
57,0.07709088
58,0.08993000
59,0.10092470
60,0.11830050
61,0.13852332
62,0.15131042
63,0.15100558
64,0.14294575
65,0.13612672
66,0.13045735
67,0.12590018
68,0.12525979
69,0.12451479
70,0.12636712
71,0.14027743
72,0.15944561
73,0.17073796
74,0.17164242
75,0.16398816
76,0.15335057
77,0.14236468
78,0.12482005
79,0.10130147
80,0.07561532
81,0.04657721
82,0.02322509
83,0.01338946
84,0.01049485
85,0.01152271
86,0.00929164
87,-0.00417617
88,-0.00929864
89,0.00021139
90,-0.00370100
91,-0.01527091
92,-0.01171551
93,-0.01524299
94,-0.03103472
95,-0.02566083
96,-0.01871729
97,-0.05559580
98,-0.10739710
99,-0.11962783
100,-0.09834289
101,-0.07941581
102,-0.08145487
103,-0.10067320
104,-0.10595343
105,-0.07236988
106,-0.02823027
107,-0.01816970
108,-0.04414811
109,-0.06993312
110,-0.05571113
111,-0.00854959
112,0.01538224
113,0.00548877
114,0.01732480
115,0.07319868
116,0.14066399
117,0.19150414
118,0.22286156
119,0.24616522
120,0.26426487
121,0.27743641
122,0.29423217
123,0.28138425
124,0.19693726
125,0.10204573
126,0.08379366
127,0.11488325
128,0.12201762
129,0.09021439
130,0.05093785
131,0.04711724
132,0.08699713
133,0.11917176
134,0.09631346
135,0.03651462
136,-0.01528677
137,-0.05773311
138,-0.11634659
139,-0.18186431
140,-0.23114005
141,-0.26609760
142,-0.28267499
143,-0.26974694
144,-0.24600532
145,-0.23916074
146,-0.25191794
147,-0.26430762
148,-0.25123372
149,-0.21685778
150,-0.20067529
151,-0.21944502
152,-0.23262436
153,-0.19496506
154,-0.11859452
155,-0.05265143
156,-0.01563411
157,0.01768933
158,0.06905243
159,0.13027768
160,0.18176418
161,0.21073400
162,0.21728752
163,0.21933428
164,0.23273571
165,0.24930538
166,0.26171785
167,0.27776179
168,0.29563046
169,0.31085010
170,0.32849454
171,0.34359152
172,0.34662548
173,0.33643388
174,0.31411203
175,0.28861614
176,0.26379855
177,0.22603622
178,0.17692629
179,0.13529375
180,0.10719969
181,0.09603916
182,0.10671811
183,0.12654327
184,0.13414963
185,0.12133677
186,0.09906543
187,0.07838595
188,0.04839617
189,-0.00223821
190,-0.05858162
191,-0.09730539
192,-0.11088900
193,-0.10814024
194,-0.09737475
195,-0.07703815
196,-0.04808844
197,-0.01349284
198,0.02544748
199,0.05542811
200,0.06507417
201,0.06010195
202,0.04464477
203,0.02269145
204,0.00335654
205,-0.01262251
206,-0.02484550
207,-0.03193659
208,-0.03520578
209,-0.02495400
210,-0.00552476
211,-0.00487331
212,-0.02200643
213,-0.03556307
214,-0.05051448
215,-0.07542895
216,-0.10457354
217,-0.13368944
218,-0.15807912
219,-0.17776187
220,-0.19791925
221,-0.21463068
222,-0.22525196
223,-0.23247681
224,-0.23296967
