Sample_Index,col0,col1
0,0,-3070
1,-3070,-4092
2,-5115,-1019
3,-4089,2052
4,-1016,2051
5,1031,2050
6,2054,1
7,2053,-2046
8,2052,-2045
9,-2043,-3067
10,-3065,-2042
11,-4087,-1017
12,-3061,2054
13,-2036,2053
14,11,2052
15,1034,2051
16,1033,1026
17,2056,-1021
18,1031,-1020
19,2054,-2043
20,-1017,-3065
21,-1016,-3063
22,-2039,-3061
23,-3061,-1012
24,-3059,11
25,-1010,1034
26,-1009,1033
27,-1008,2056
28,1039,2055
29,1038,1030
30,1037,5
31,1036,-3065
32,11,-3063
33,-1012,-3061
34,-3058,-2036
35,-2033,1035
36,-2032,1034
37,15,1033
38,1038,1032
39,-1009,1031
40,1038,1030
41,1037,5
42,1036,-3065
43,-1011,-3063
44,-2034,-2038
45,-1009,9
46,-1008,8
47,-2031,7
48,-1006,2054
49,17,2053
50,1040,1028
51,15,-1019
52,23556,-6136
53,1027,21502
54,-27631,-5119
55,-23523,-7163
56,-24535,-11253
57,-24523,-12271
58,-20417,-16359
59,-18360,-18398
60,-16304,-20436
61,-14249,-23496
62,-11171,-23484
63,-9118,-27566
64,-6043,-25505
65,-2969,-25492
66,1126,-26503
67,2149,-26490
68,7266,-25453
69,9310,-24417
70,13400,-23381
71,16464,-22346
72,18503,-20288
73,19518,-18231
74,22579,-15151
75,23592,-12073
76,25628,-8996
77,-9183,22737
78,-11225,23750
79,-13266,17598
80,-17353,17590
81,-16321,16558
82,-19383,15527
83,-19373,12449
84,-22434,9373
85,-24470,7322
86,-23434,7319
87,-24446,4245
88,-23410,-1898
89,-22375,-4967
90,-18270,-4964
91,-20308,-9055
92,-20298,-11097
93,-16194,-15185
94,-15162,-16201
95,33974,16559
96,33958,14504
97,15519,21662
98,26770,23699
99,24710,24711
100,22651,27770
101,19570,31851
102,14443,29789
103,12389,29775
104,7266,35902
105,2145,34861
106,-1950,32797
107,-6043,34828
108,-7063,33788
109,-14224,31725
110,-16264,29663
111,-21373,27602
112,-22386,24519
113,-24422,22461
114,-36692,-12348
115,-21321,-21553
116,-16193,-22565
117,-34608,-29718
118,-32544,-32773
119,-30481,-35827
120,5357,-31715
121,4331,-28629
122,9447,-31685
123,11490,-31669
124,12508,-27559
125,16596,-27545
126,16588,-23437
127,18627,-23425
128,11454,-37742
129,11449,-40794
130,19632,-35656
131,23717,-30521
132,30870,-20271
133,29832,-20261
134,30841,-17180
135,34920,-11030
136,33880,-12048
137,33864,-5901
138,-2998,29925
139,-33701,-13076
140,-33684,-16140
141,15461,-28414
142,20571,-24306
143,25679,-21223
144,25667,-17118
145,28725,-16086
146,30758,-11984
147,29720,-9931
148,31753,-6855
149,33785,-1734
150,29675,3385
151,32732,9525
152,30670,9521
153,27585,14634
154,28596,15651
155,-31804,23832
156,-27694,16656
157,-30750,14601
158,-29711,9477
159,-28672,4355
160,-29681,1282
161,-29666,-2812
162,-27604,-3834
163,-29637,-7926
164,-27575,-12016
165,-27561,-15080
166,-22430,-20190
167,-32654,-23250
168,-33661,-27332
169,-11127,-26295
170,-10098,-24235
171,-3952,-27293
172,-1903,-25232
173,1168,-30337
174,-7020,-33392
175,-875,-35422
176,4243,-34381
177,8335,-33340
178,13449,-32300
179,14466,-32284
180,16506,-30221
181,24686,-27135
182,23651,-25074
183,20569,26114
184,13395,29172
185,9295,27111
186,6220,31192
187,3147,30154
188,74,28093
189,-8114,28080
190,-9133,27043
191,-11175,27030
192,-14240,25994
193,-17303,24958
194,-20365,19829
195,-19331,15726
196,-23415,14695
197,-26474,7524
198,-29531,9568
199,-1882,-27282
200,-6998,33118
201,-9041,26961
202,-13130,25925
203,-15170,22842
204,-20280,16690
205,-24364,17706
206,-28446,23839
207,-28432,15640
208,-30465,10515
209,-33520,14604
210,-32480,9480
211,-28370,-2806
212,-33473,-3828
213,-24245,-8943
214,-30374,-7915
215,-26265,-14052
216,-23181,-19162
217,-25216,-23246
218,-27250,-26305
219,-20072,-23221
220,-16991,-25256
221,-13912,-27290
222,-15952,-31370
223,-3662,-25213
224,-4683,-31341
225,-4680,-33372
226,4534,-24144
227,2485,-36414
228,11696,-23090
229,15785,-34337
230,11684,-28179
231,19867,-14859
232,15764,-10757
233,11663,12789
234,13705,21995
235,10628,24032
236,7553,26068
237,-7803,16844
238,-634,18883
239,-6774,16827
240,-26217,-9792
241,-28251,-12857
242,-28237,-20015
243,-22082,-22052
244,-17977,-23064
245,10690,-19982
246,-32302,497
247,-26145,17897
248,-24085,24030
249,-25096,15831
250,-28154,9683
251,-27116,8655
252,-23008,-12842
253,-24020,-15906
254,-20937,-16921
255,-18879,-22030
256,-21940,-15878
257,23105,-13823
258,23094,-12792
259,25130,-8691
260,25118,-498
261,27153,-497
262,28164,-496
263,-5625,17928
264,-10739,19967
265,-6639,30193
266,-15847,15850
267,-19933,12772
268,-25040,9696
269,-20933,8668
270,-20922,6617
271,-26029,-3621
272,-24992,-548
273,-24979,-5665
274,-24966,-9756
275,-28024,4578
276,-22892,-12823
277,-21857,-12816
278,-21846,-18950
279,15011,-13823
280,23192,23030
281,-12641,10737
282,-12634,5615
283,-14674,4589
284,-8525,1516
285,-10567,1515
286,-12608,-2579
287,-10554,-5648
288,-20783,-4621
289,-10537,-5642
290,15056,-16897
291,18120,-13818
292,25276,-9717
293,22194,-13806
294,4784,15883
295,4782,18946
296,5804,20984
