Sample_Index,col0,col1
0,0,-2
1,-2,-2
2,-3,1
3,0,0
4,0,0
5,0,3
6,2,-2
7,0,-2
8,0,3
9,0,-6
10,-6,0
11,2,6
12,-1,-9
13,-5,7
14,8,4
15,-3,-14
16,-3,17
17,13,-5
18,-12,-16
19,3,28
20,13,-24
21,-25,-7
22,17,38
23,4,-51
24,-36,25
25,45,32
26,-19,-86
27,-38,98
28,93,-37
29,-93,-94
30,-1,325
31,253,-1385
32,-1368,-4143
33,-4331,-2870
34,-5092,817
35,-2591,2279
36,312,2142
37,1500,1145
38,2176,-1041
39,2345,-2340
40,95,-2406
41,-2802,-2713
42,-3739,-1854
43,-3617,784
44,-2730,2223
45,-884,1976
46,529,2157
47,1197,1706
48,1446,-117
49,1592,-1079
50,1730,-1468
51,530,-2553
52,-1115,-3213
53,-1512,-3110
54,-2495,-2193
55,-3441,-384
56,-1980,645
57,-817,894
58,-1159,1656
59,-141,2062
60,1321,1691
61,1080,622
62,806,-1609
63,924,-3264
64,-561,-3219
65,-2299,-2603
66,-2422,-693
67,-2324,1465
68,-1057,1055
69,962,675
70,-30,1430
71,-466,854
72,1598,555
73,1030,-958
74,-167,-4084
75,-1017,-2538
76,-2506,-262
77,-413,-982
78,-888,846
79,-3474,997
80,1400,822
81,220,4196
82,-2413,-1671
83,14349,-5181
84,16091,9172
85,-14807,10508
86,-29305,-7127
87,-22329,-11374
88,-24385,-9401
89,-24219,-15436
90,-17726,-17589
91,-17761,-18614
92,-16007,-22651
93,-11612,-23412
94,-10849,-25122
95,-7701,-27340
96,-3800,-25248
97,-1735,-25266
98,2196,-27442
99,4772,-25731
100,7460,-24389
101,12459,-24751
102,14356,-22300
103,17211,-21072
104,20559,-20509
105,18906,-15222
106,24027,-14126
107,27582,-12912
108,7883,7056
109,-12115,26172
110,-13094,21448
111,-14063,15458
112,-17762,18430
113,-17715,16014
114,-19038,13324
115,-20980,12039
116,-23551,7156
117,-24498,7335
118,-22997,7247
119,-24988,-107
120,-22998,-3243
121,-18887,-4583
122,-21228,-8197
123,-18413,-8229
124,-18775,-14234
125,-20170,-18253
126,10384,110
127,38649,17726
128,25147,18096
129,17314,21647
130,28141,25759
131,24548,24716
132,19221,30329
133,18783,32007
134,12645,27868
135,9622,33363
136,5895,36506
137,-1285,32534
138,-3387,34407
139,-6503,34552
140,-10979,31979
141,-14360,32105
142,-20231,27232
143,-21086,26240
144,-22556,26480
145,-32242,5042
146,-29869,-19131
147,-17410,-22990
148,-22512,-24785
149,-37262,-31776
150,-33622,-35219
151,-11418,-33832
152,6037,-29482
153,8121,-30082
154,8831,-32265
155,13241,-29115
156,14013,-28185
157,16286,-25276
158,19070,-21676
159,14373,-30904
160,10847,-40026
161,14872,-39148
162,21777,-33794
163,28100,-23793
164,30096,-20507
165,30500,-19880
166,32578,-11516
167,34431,-13887
168,35906,-10511
169,19475,14608
170,-21940,12485
171,-40070,-16764
172,-9173,-25308
173,21947,-23969
174,24111,-25046
175,23291,-18395
176,29249,-15697
177,29326,-15453
178,29031,-10141
179,32625,-8333
180,31503,-5453
181,31513,1698
182,33332,6242
183,28507,9789
184,31262,12056
185,31529,14572
186,-1525,20484
187,-33734,21009
188,-30941,15456
189,-26885,11815
190,-31728,7463
191,-28428,2112
192,-28562,-621
193,-30691,-3232
194,-26813,-6074
195,-28952,-9405
196,-29275,-14106
197,-22221,-17342
198,-27875,-21405
199,-35669,-26389
200,-22656,-26418
201,-8582,-25292
202,-7616,-25907
203,-3218,-25522
204,1328,-27979
205,-3816,-31884
206,-4783,-34172
207,1837,-36040
208,6445,-33253
209,10911,-31972
210,14323,-34410
211,15009,-29073
212,20206,-29337
213,25602,-30313
214,22401,798
215,16485,31779
216,11861,28593
217,6932,27102
218,4896,32795
219,2358,28237
220,-4713,27849
221,-8886,28269
222,-9853,25833
223,-12923,27860
224,-15559,24807
225,-18828,22229
226,-20929,19824
227,-19464,11213
228,-25679,14730
229,-30526,9485
230,-15322,-13660
231,-2209,1109
232,-7626,33564
233,-12285,29051
234,-13149,20916
235,-17847,22004
236,-22411,15595
237,-26613,20363
238,-28659,22512
239,-28946,10799
240,-32485,12202
241,-33157,14372
242,-30396,2486
243,-30725,-4331
244,-29145,-5911
245,-26910,-8542
246,-28359,-10825
247,-25479,-16143
248,-22551,-21718
249,-27078,-25080
250,-25300,-25120
251,-16438,-23120
252,-15903,-26727
253,-16135,-29824
254,-8594,-27471
255,-4680,-29014
256,-4285,-31428
257,-452,-30072
258,3151,-29425
259,7712,-29152
260,13369,-30239
261,14462,-30243
262,15367,-23477
263,17996,-12781
264,14921,1488
265,10674,17055
266,13229,25291
267,10829,25233
268,-2113,20498
269,-4912,18610
270,-1096,18619
271,-16352,4902
272,-30680,-13368
273,-26085,-17347
274,-27255,-19325
275,-21578,-24629
276,157,-22041
277,-8564,-10929
278,-33105,9125
279,-26343,24716
280,-20308,19332
281,-30208,12063
282,-26889,10983
283,-23730,-2315
284,-26221,-15853
285,-19601,-16471
286,-21051,-19104
287,-23276,-20496
288,360,-13892
289,25594,-12972
290,26523,-12535
291,21536,-3216
292,27833,-157
293,30485,-1818
294,10947,7931
295,-10276,20413
296,-9719,25556
297,-8765,24073
298,-19032,14434
299,-23439,8769
300,-22395,11671
301,-21312,7078
302,-22250,463
303,-26943,-170
304,-24919,-5318
305,-23282,-7128
306,-29027,-2221
307,-24216,-4279
308,-21380,-10702
309,-26270,-19049
310,-3157,-18243
311,23918,5618
312,7503,19846
313,-17064,8352
314,-14626,2975
315,-8769,4347
316,-11648,1253
317,-11043,-401
318,-9867,-4545
319,-17653,-5345
320,-17569,-3835
321,2591,-12233
322,18035,-15574
323,22110,-12121
324,25087,-12579
325,14226,-339
326,2044,19138
327,6310,22367
328,4782,16501
329,-3127,15841
330,-5461,22845
331,-9677,27729
332,-7557,21996
333,-5154,16340
334,-14377,17088
335,-18615,21805
336,-23000,18925
337,-19880,-4796
338,12990,-13099
339,21617,13356
340,-16402,16537
341,-31655,-7207
342,-20807,-8573
343,-22585,-6227
344,-21064,-16745
345,-13615,-18066
346,-15545,-17697
347,-19447,-21238
348,-19627,-22170
349,-15444,-26004
350,-10057,-26376
351,-3947,-22402
352,5430,-22536
353,5138,-22762
354,150,-24557
355,6334,-22292
356,11496,-5776
357,17520,10638
358,21488,19175
359,-2619,18895
360,-18047,873
361,10148,-14279
362,29059,-8741
363,22800,-2786
364,25449,1384
365,16504,16387
366,-11403,27406
367,-19531,20682
368,-13564,814
369,-14585,-19168
370,-7364,-21668
371,8853,-13622
372,20844,-14361
373,26207,-7680
374,8259,10226
375,-20684,600
376,-8476,-21479
377,20055,-5509
378,2292,18849
379,-22918,15924
380,-15542,15907
381,-15815,18740
382,-22421,6237
383,-14903,850
384,-21456,1664
385,-26646,-5835
386,-4096,-11253
