Sample_Index,Value
0,0
1,-4345
2,-8691
3,0
4,0
5,0
6,-6518
7,-4345
8,0
9,0
10,-17383
11,-15645
12,-2543
13,-12215
14,-16514
15,-8479
16,-5425
17,-18458
18,-11646
19,-6313
20,-10173
21,-17821
22,-8335
23,-6768
24,-15709
25,-12981
26,-7310
27,-8071
28,-13375
29,-12112
30,-4989
31,-708
32,-2687
33,-9026
34,-11864
35,-13851
36,-23228
37,-13940
38,-12108
39,-4198
40,-16249
41,-7998
42,-4939
43,-12230
44,-8275
45,-12721
46,-10403
47,-6721
48,-21532
49,-6457
50,-1588
51,-9303
52,-6837
53,-2021
54,-7000
55,-9553
56,-11944
57,-14733
58,-1347
59,-8775
60,-11183
61,-11243
62,-12018
63,-1728
64,-7824
65,-8561
66,-12904
67,-11882
68,-7040
69,-21755
70,11861
71,11768
72,-9861
73,-18471
74,-4543
75,-8672
76,-16685
77,32767
78,-14114
79,2732
80,-28039
81,5606
82,19688
83,2724
84,10893
85,16077
86,7901
87,4821
88,-1716
89,3134
90,4247
91,460
92,2357
93,2843
94,875
95,2222
96,2414
97,1414
98,2364
99,1889
100,2019
101,2699
102,1915
103,1909
104,1654
105,2206
106,2208
107,1487
108,32767
109,6098
110,2280
111,3949
112,408
113,1281
114,2216
115,1495
116,3827
117,68
118,-264
119,5109
120,2532
121,2031
122,1931
123,1015
124,3369
125,1306
126,30195
127,1728
128,4593
129,5227
130,-1948
131,905
132,3632
133,574
134,2203
135,2216
136,1965
137,3914
138,959
139,1500
140,2606
141,1500
142,3903
143,665
144,481
145,12079
146,10603
147,7391
148,-1334
149,-1509
150,1788
151,10026
152,10381
153,1035
154,56
155,2890
156,610
157,2015
158,2690
159,-4157
160,-2426
161,1691
162,3763
163,5532
164,1832
165,356
166,4315
167,-705
168,1697
169,21388
170,15375
171,7998
172,20638
173,12760
174,406
175,2759
176,2720
177,132
178,2779
179,1363
180,1438
181,3932
182,2117
183,2838
184,583
185,1086
186,27524
187,7253
188,1869
189,1007
190,2850
191,3105
192,1660
193,1337
194,2294
195,1431
196,2190
197,4249
198,-109
199,-246
200,4943
201,8438
202,708
203,2916
204,2745
205,-2513
206,-322
207,3138
208,2593
209,2387
210,1032
211,1624
212,2015
213,1530
214,24200
215,9476
216,1712
217,2737
218,1496
219,1318
220,4330
221,2261
222,1113
223,1093
224,2288
225,2482
226,1924
227,5208
228,24
229,3505
230,23198
231,-32768
232,-963
233,3333
234,3561
235,1818
236,5009
237,-639
238,-203
239,6231
240,-34
241,-829
242,6624
243,3756
244,1088
245,1960
246,925
247,3477
248,3357
249,-287
250,624
251,3715
252,1287
253,650
254,3922
255,2430
256,393
257,2203
258,2144
259,2582
260,2489
261,510
262,2764
263,8066
264,16813
265,10245
266,946
267,1381
268,11269
269,2879
270,-3550
271,17840
272,5727
273,3250
274,487
275,4122
276,17155
277,-17175
278,-6485
279,-7698
280,-162
281,5569
282,-152
283,9873
284,5841
285,3212
286,596
287,-238
288,29770
289,7408
290,469
291,6770
292,1932
293,-853
294,24892
295,10150
296,-1493
297,-263
298,10104
299,4758
300,-2103
301,3109
302,5181
303,389
304,3722
305,1577
306,-3183
307,2024
308,5098
309,2082
310,21254
311,12054
312,16702
313,19328
314,5570
315,-6803
316,5021
317,2634
318,6810
319,-1404
320,-1408
321,24998
322,5518
323,3437
324,572
325,14632
326,12808
327,-2415
328,-167
329,8491
330,474
331,1403
332,-106
333,-598
334,5118
335,97
336,2924
337,20223
338,16483
339,12294
340,18474
341,10583
342,4167
343,-2028
344,5930
345,5182
346,-1249
347,-293
348,283
349,3192
350,3181
351,4071
352,6812
353,-249
354,-3538
355,4926
356,23071
357,9247
358,2250
359,21795
360,18036
361,14095
362,6158
363,3898
364,2741
365,12668
366,12610
367,6432
368,24913
369,8146
370,5804
371,19241
372,4254
373,5041
374,32767
375,8788
376,14650
377,19188
378,18834
379,10456
380,-4114
381,-1147
382,10319
383,5764
384,-246
385,3960
386,32767
387,6844
388,224
389,21509
390,17426
391,18849
392,10490
393,11314
394,32767
395,7739
396,-3951
397,-1064
398,8010
399,-2509
400,1715
401,17794
402,17360
403,15255
404,19724
405,7505
406,31653
407,9255
408,-126
409,-486
410,1449
411,20494
412,18124
413,10527
414,14256
415,19041
416,12274
417,14254
418,2939
419,-726
420,23371
421,10497
422,26222
423,13725
424,16518
425,17537
426,24440
427,9315
428,2141
429,18767
430,19386
431,15707
432,32767
433,-4155
434,7755
435,12024
436,16763
437,14871
438,20210
439,14941
440,23609
441,17074
442,14907
443,-32768
444,1429
445,14370
446,14972
447,18704
448,11404
449,18920
450,16927
451,17296
452,18861
453,14927
454,24290
455,-20665
456,2983
457,19055
458,15161
459,15795
460,14167
461,19137
462,18138
463,17255
464,18813
465,19182
466,-32768
467,4673
468,13640
469,15924
470,14658
471,15755
472,20720
473,12569
474,20353
475,14651
476,19354
477,19634
478,32767
479,2329
480,12477
481,19323
482,12622
483,20626
484,16307
485,15860
486,16755
487,23304
488,15794
489,4246
490,5055
491,15656
492,17622
493,14235
494,15704
495,16172
496,17722
497,18066
498,16786
499,16552
500,19471
501,32767
502,-646
503,22684
504,11566
505,18774
506,15114
507,18874
508,14476
509,18090
510,20248
511,13662
512,32767
513,-1908
514,17688
515,16312
516,13636
517,21941
518,13294
519,18973
520,16336
521,17183
522,19237
523,17718
524,-32768
525,1032
526,17948
527,14634
528,14423
529,16833
530,17659
531,16466
532,16510
533,21849
534,15833
535,-6120
536,2067
537,16766
538,16534
539,15592
540,16388
541,15813
542,17751
543,15212
544,20890
545,17689
546,18031
547,32767
548,1928
549,16181
550,12360
551,19143
552,15961
553,19170
554,13965
555,19876
556,15894
557,21607
558,-8412
559,3497
560,17815
561,13873
562,18126
563,15190
564,16313
565,18419
566,17494
567,16282
568,18960
569,17014
570,29166
571,-1530
572,15358
573,14193
574,15549
575,16557
576,17182
577,17502
578,18496
579,18785
580,16635
581,32767
582,471
583,16483
584,15750
585,16020
586,17549
587,16086
588,18093
589,14803
590,17657
591,21216
592,13433
593,32767
594,-1387
595,16297
596,15444
597,13220
598,18531
599,15710
600,16783
601,15542
602,21237
603,14557
604,32767
605,-1569
606,16194
607,16019
608,15227
609,16272
610,17935
611,15995
612,17008
613,18418
614,18224
615,19389
616,-32768
617,343
618,19247
619,15176
620,16029
621,16017
622,15525
623,17597
624,17282
625,20299
626,16607
627,-10386
628,715
629,14943
630,15665
631,15199
632,20392
633,13906
634,18080
635,16619
636,17341
637,20081
638,18197
639,32767
640,-1043
641,16914
642,16165
643,14860
644,15194
645,17708
646,14514
647,19848
648,20078
649,15998
650,-32768
651,2206
652,18130
653,14705
654,17665
655,15201
656,17088
657,17642
658,15847
659,19034
660,19267
661,16839
662,32767
663,-49
664,14034
665,16353
666,14893
667,17220
668,16812
669,14335
670,19241
671,20539
672,14733
673,-32768
674,18
675,14488
676,18206
677,15233
678,16698
679,16991
680,16720
681,15942
682,19370
683,15252
684,21779
685,32767
686,-198
687,17421
688,15378
689,15065
690,16462
691,18653
692,14827
693,20491
694,17159
695,17150
696,32767
697,508
698,15689
699,16985
700,13931
701,16057
702,18641
703,15303
704,19288
705,18068
706,18493
707,17200
708,32767
709,98
710,14008
711,17312
712,14174
713,19579
714,14808
715,15748
716,20719
717,17570
718,17495
719,32767
720,-599
721,13264
722,20048
723,11727
724,19042
725,16972
726,17480
727,16318
728,18405
729,19313
730,17821
731,32767
732,2256
733,20108
734,12990
735,14577
736,20000
737,14018
738,18314
739,18072
740,18725
