Sample_Index,Value
0,0
1,-6518
2,-2543
3,-11646
4,-15709
5,-4989
6,-23228
7,-4939
8,-21532
9,-7000
10,-11183
11,-12904
12,-9861
13,-14114
14,10893
15,4247
16,2414
17,1915
18,32767
19,2216
20,2532
21,30195
22,3632
23,959
24,481
25,1788
26,610
27,3763
28,1697
29,406
30,1438
31,27524
32,1660
33,-109
34,2745
35,1032
36,1712
37,1113
38,24
39,3561
40,-34
41,925
42,1287
43,2144
44,16813
45,-3550
46,17155
47,-152
48,29770
49,24892
50,-2103
51,-3183
52,16702
53,6810
54,572
55,474
56,2924
57,4167
58,283
59,-3538
60,18036
61,12610
62,4254
63,18834
64,-246
65,17426
66,-3951
67,17360
68,-126
69,14256
70,23371
71,24440
72,32767
73,20210
74,1429
75,16927
76,2983
77,18138
78,13640
79,20353
80,12477
81,16755
82,17622
83,16786
84,11566
85,20248
86,13636
87,19237
88,14423
89,15833
90,16388
91,18031
92,15961
93,-8412
94,16313
95,29166
96,17182
97,471
98,18093
99,-1387
100,16783
101,16194
102,17008
103,19247
104,17282
105,15665
106,17341
107,16165
108,20078
109,17665
110,19267
111,14893
112,14733
113,16698
114,21779
115,16462
116,32767
117,18641
118,32767
119,14808
120,-599
121,17480
122,2256
123,18314
124,17544
125,17274
126,15750
127,16965
128,13995
129,25891
130,15068
131,20223
132,17717
133,14762
134,14279
135,19413
136,14572
137,21966
138,21037
139,26024
140,18157
141,32767
142,15660
143,334
144,17730
145,203
146,14400
147,18377
148,16546
149,16906
150,19007
151,14275
152,21789
153,16673
154,17371
155,14765
156,18488
157,12350
158,18982
159,15865
160,18216
161,21532
162,-32768
163,18430
164,32767
165,15286
166,-92
167,17196
168,-896
169,15564
170,17297
171,16606
172,13069
173,19166
174,15811
175,17533
176,14927
177,18353
178,12114
179,21788
180,17487
181,17515
182,18377
183,12875
184,16605
185,32767
186,14535
187,32767
188,18155
189,-1177
190,16977
191,1218
192,13306
193,13153
194,23159
195,15919
196,25224
197,14302
198,16499
199,11978
200,19839
201,13101
202,22214
203,16852
204,13214
205,20511
206,16523
207,17071
208,32767
209,12878
210,32767
211,23916
212,743
213,17043
214,-298
215,14893
216,12101
217,18102
218,14371
219,21055
220,18007
221,13062
222,14848
223,12976
224,12429
225,30265
226,19008
227,14836
228,18953
229,9764
230,10004
231,-14124
232,16119
233,-32768
234,22035
235,-1055
236,12626
237,-3885
238,17114
239,20443
240,14580
241,13357
242,20682
243,18197
244,16597
245,18886
246,15620
247,12590
248,22635
249,19120
250,15175
251,15807
252,15320
253,15453
254,32767
255,18369
256,10713
257,18344
258,378
259,10938
260,8017
261,14177
262,15231
263,2811
264,-14064
265,-1501
266,-13645
267,17899
268,-32768
269,-18234
270,-12367
271,-23482
272,-9107
273,-20702
274,-23903
275,-32768
276,-15061
277,-32768
278,-14026
279,-14865
280,275
281,-9975
282,-26114
283,-32768
284,-9911
285,202
286,-11685
287,694
288,-528
289,-15245
290,-5904
291,9787
292,5135
293,14516
294,-4406
295,-2059
296,10383
297,28588
298,-21330
299,-32768
300,25293
301,13560
302,1873
303,-14928
304,28869
305,-5219
306,-32768
307,32767
308,5305
309,9183
310,-18250
311,10250
312,-4829
313,-7193
314,-10236
315,-2169
316,-10004
317,23233
318,2232
319,-1868
320,-19064
321,-32768
322,-2153
323,1207
324,903
325,-10027
326,-26818
327,-7556
328,-4907
329,-879
330,-30229
331,-32353
332,-26552
333,10838
334,-5275
335,-18903
336,-8796
337,-27783
338,-31643
339,1070
340,-8141
341,-32768
342,-6769
343,-14438
344,-4016
345,8486
346,-6971
347,-14968
348,6426
349,-32768
350,2983
351,-37
352,-2030
353,-5767
354,-32768
355,-390
356,8622
357,13730
358,32767
359,19909
360,318
361,-13053
362,-66
363,2672
364,7019
365,-20419
366,32166
367,-12864
368,7385
369,3394
370,3663
371,-3420
372,4193
373,7124
374,12189
375,13545
376,8713
377,12361
378,11633
379,6396
380,13104
381,653
382,-16222
383,7243
384,3118
385,-1714
386,-32768
387,-6900
388,-32768
389,11074
390,-32112
391,-1496
392,7188
393,1006
394,-19573
395,-21960
396,23394
397,7480
398,28209
399,5030
400,-3063
401,-2469
402,-7703
403,12666
404,-11978
405,-31326
406,7548
407,-32768
408,-8877
409,32767
410,-11470
411,-11429
412,-22202
413,-10976
414,-18176
415,-32768
416,-9865
417,-32768
418,-17792
419,-8461
420,-16159
421,-2284
422,-22651
423,-10479
424,-18013
425,-16683
426,-13740
427,-13100
428,-12677
429,-9114
430,-28757
431,-3975
432,-6412
433,-1738
434,-337
435,-8066
436,6313
437,11441
438,-4341
439,-2011
440,-6172
441,-2730
442,3888
443,11430
444,255
445,19193
446,6629
447,1464
448,-8764
449,6498
450,10930
451,812
452,7580
453,12382
454,-32473
455,16632
456,15951
457,12553
458,16808
459,16079
460,17003
461,-32768
462,18377
463,32767
464,17488
465,2141
466,16400
467,1972
468,12502
469,13246
470,20748
471,26393
472,17436
473,17927
474,15409
475,13352
476,29230
477,12852
478,13720
479,15467
480,21493
481,15381
482,15463
483,19387
484,-32768
485,14654
486,32767
487,23696
488,-484
489,15616
490,-114
491,22228
492,17942
493,14038
494,32767
495,19710
496,7026
497,19812
498,20674
499,20680
500,18824
501,14267
502,15350
503,27968
504,13735
505,18410
506,18333
507,-32768
508,18859
509,-32768
510,14404
511,-1218
512,14485
513,3571
514,20286
515,15946
516,12969
517,23695
518,23266
