Sample_Index,Value
0,0
1,-1785
2,-1993
3,-4637
4,-7670
5,-6936
6,-11398
7,-9630
8,-12890
9,-11278
10,-11252
11,-11705
12,-11201
13,-11999
14,-5731
15,-2999
16,-1517
17,-578
18,8553
19,6817
20,5643
21,12366
22,9974
23,7505
24,5581
25,4542
26,3465
27,3546
28,3039
29,2317
30,2076
31,9044
32,7021
33,5068
34,4431
35,3500
36,3010
37,2490
38,1814
39,2292
40,1655
41,1455
42,1408
43,1609
44,5772
45,3219
46,7035
47,5066
48,11831
49,15407
50,10611
51,6833
52,9535
53,8788
54,6538
55,4877
56,4342
57,4294
58,3195
59,1351
60,5920
61,7752
62,6794
63,10091
64,7260
65,10043
66,6210
67,9263
68,6691
69,8762
70,12762
71,15960
72,20562
73,20465
74,15252
75,15710
76,12224
77,13843
78,13787
79,15585
80,14733
81,15286
82,15925
83,16160
84,14901
85,16365
86,15617
87,16608
88,16009
89,15960
90,16077
91,16612
92,16433
93,9629
94,11459
95,16308
96,16547
97,12144
98,13773
99,9621
100,11582
101,12844
102,13984
103,15425
104,15933
105,15859
106,16264
107,16236
108,17288
109,17391
110,17904
111,17079
112,16436
113,16507
114,17950
115,17542
116,21711
117,20870
118,24127
119,21574
120,15501
121,16042
122,12266
123,13922
124,14913
125,15559
126,15611
127,15981
128,15437
129,18299
130,17414
131,18183
132,18055
133,17153
134,16365
135,17199
136,16479
137,17981
138,18817
139,20790
140,20068
141,23545
142,21385
143,15620
144,16197
145,11817
146,12524
147,14126
148,14788
149,15368
150,16364
151,15791
152,17433
153,17224
154,17264
155,16579
156,17101
157,15799
158,16670
159,16449
160,16932
161,18191
162,4235
163,8122
164,14871
165,14984
166,10855
167,12591
168,8897
169,10722
170,12522
171,13640
172,13483
173,15039
174,15250
175,15875
176,15615
177,16364
178,15200
179,17004
180,17136
181,17239
182,17550
183,16269
184,16361
185,20853
186,19122
187,22858
188,21570
189,15340
190,15788
191,11798
192,12210
193,12468
194,15395
195,15538
196,18190
197,17125
198,16953
199,15590
200,16753
201,15752
202,17521
203,17337
204,16207
205,17385
206,17148
207,17126
208,21409
209,19072
210,22822
211,23121
212,16992
213,17005
214,12266
215,12985
216,12742
217,14209
218,14253
219,16115
220,16633
221,15655
222,15434
223,14760
224,14121
225,18542
226,18669
227,17619
228,17984
229,15732
230,14163
231,6416
232,9073
233,-2386
234,4301
235,2834
236,5515
237,2940
238,6821
239,10551
240,11654
241,12120
242,14464
243,15486
244,15790
245,16637
246,16358
247,15326
248,17327
249,17818
250,17094
251,16741
