Sample_Index,col0,col1
0,-18,0
1,-16,-6
2,5,-13
3,-15,-9
4,-1,-12
5,14,-14
6,-21,-9
7,22,-16
8,27,-2
9,-29,0
10,48,-9
11,3,23
12,-48,7
13,76,-2
14,-60,37
15,-49,-24
16,112,-8
17,-137,33
18,12,-63
19,131,17
20,-232,16
21,161,-97
22,83,80
23,-323,-21
24,415,-100
25,-146,178
26,-346,-105
27,834,-62
28,-921,295
29,169,-336
30,1997,54
31,-12122,694
32,-28926,-3708
33,-25039,-13531
34,-13912,-22440
35,-8772,-24390
36,-3342,-23972
37,1342,-28374
38,7643,-28893
39,20760,-20274
40,29218,-13376
41,25509,-6242
42,19790,8293
43,16465,20440
44,6599,26056
45,-10340,27625
46,-21682,18183
47,-23498,1208
48,-22729,-8926
49,-22095,-12789
50,-19587,-19690
51,-11870,-27748
52,-603,-28604
53,7920,-23856
54,16107,-19767
55,24900,-11683
56,26077,3016
57,20583,15579
58,11009,23666
59,-5514,27111
60,-19386,18737
61,-23079,3998
62,-25064,-2684
63,-27458,-3429
64,-25023,-9428
65,-17762,-20240
66,-8059,-26591
67,595,-26350
68,9565,-24753
69,20734,-20061
70,24797,-10099
71,22038,-900
72,23256,8715
73,19392,20676
74,5859,25607
75,3219,24191
76,12639,24042
77,14247,22809
78,8449,22905
79,5084,25816
80,1688,24820
81,-4560,25061
82,-9463,28304
83,-11166,25404
84,-14603,22855
85,-20517,22465
86,-23668,12795
87,-25418,3856
88,-27450,6658
89,-25368,12627
90,-20914,19226
91,-19382,22892
92,-20295,18872
93,-20769,19066
94,-19131,23938
95,-17167,21003
96,-16891,16950
97,-17946,18228
98,-21278,17875
99,-24030,16384
100,-22549,16163
101,-21340,15838
102,-20857,17089
103,-16915,18687
104,-13152,19695
105,-10307,22565
106,-5414,24575
107,-3273,24689
108,-5026,26505
109,-6714,27236
110,-9335,24763
111,-10064,23719
112,-6280,24119
113,-4106,23689
114,-2923,24843
115,876,27350
116,2301,28146
117,3478,26870
118,8548,25089
119,10443,25598
120,8929,27383
121,8031,25976
122,2292,24263
123,-6404,25762
124,-9098,24901
125,-8159,21169
126,-9808,21517
127,-11850,24041
128,-10230,23614
129,-6915,24038
130,-1748,26192
131,7845,24188
132,12899,20966
133,9976,21807
134,12034,21875
135,16441,21160
136,11885,24238
137,6022,26018
138,3906,25773
139,241,28777
140,-3299,30288
141,-3903,27589
142,-2138,25252
143,557,23703
144,2643,24529
145,4423,28293
146,3226,29129
147,-831,25927
148,-2508,22830
149,-5254,22316
150,-11226,23035
151,-13523,21390
152,-13633,20378
153,-15136,22274
154,-14106,21385
155,-11244,20218
156,-7707,23432
157,-711,24828
158,5602,23423
159,6430,23833
160,5885,24844
161,6780,24416
162,5021,22077
163,-202,20737
164,-3134,23311
165,-1914,26022
166,-1135,26985
167,-2018,26227
168,-1087,23267
169,2953,23695
170,7925,25997
171,9344,22669
172,4336,20005
173,-1901,23350
174,-3814,26345
175,-6383,25559
176,-13557,20131
177,-20404,10764
178,-25171,2032
179,-27763,-3945
180,-25157,-7916
181,-21964,-10864
182,-23365,-9791
183,-24681,-3954
184,-23718,-6579
185,-21540,-20047
186,-16282,-25252
187,-10334,-21932
188,-4916,-25307
189,4968,-28766
190,18021,-20814
191,26558,-7656
192,27207,2855
193,22793,10949
194,17390,18247
195,11144,23653
196,3968,25704
197,-4127,24102
198,-16315,17331
199,-26181,6218
200,-23560,-5784
201,-15821,-17892
202,-6968,-25544
203,11700,-21565
204,28134,-8673
205,25335,6132
206,15117,18345
207,8828,23962
208,1323,24743
209,-6312,24158
210,-12999,19705
211,-22346,9259
212,-26944,-4486
213,-20941,-16113
214,-11817,-23442
215,-1356,-26906
216,14038,-21240
217,24625,-7364
218,21849,5001
219,16563,16230
220,15223,24768
221,9776,23813
222,3124,21508
223,302,22717
224,-7781,22345
225,-19118,21547
226,-22841,15476
227,-23361,2678
228,-24286,-7335
229,-19221,-17996
230,-6575,-27532
231,8969,-24664
232,19712,-19122
233,23130,-16982
234,25273,-10812
235,27229,-5117
236,26743,703
237,24347,11248
238,17056,19457
239,5651,24311
240,-3471,25580
241,-11442,21038
242,-20835,15864
243,-26159,4904
244,-23932,-12217
245,-18836,-19282
246,-15198,-20446
247,-11503,-26562
248,-5790,-29000
249,1111,-26701
250,8105,-24842
251,14181,-20791
252,19387,-14913
253,24090,-6345
254,25781,4859
255,21793,14172
256,10770,22415
257,-6345,24654
258,-20765,15960
259,-25106,8605
260,-25665,6233
261,-28223,-593
262,-27319,-9923
263,-20010,-19167
264,-8522,-27552
265,6387,-27082
266,18294,-18709
267,21336,-7695
268,21454,7749
269,16578,21708
270,-3108,23547
271,-23302,11903
272,-26421,-3930
273,-24299,-10327
274,-24511,-10271
275,-16778,-17645
276,-3400,-26709
277,10144,-24996
278,23175,-14834
279,26258,-2546
280,22257,8115
281,20174,16839
282,5982,22468
283,-18775,16183
284,-25281,-2783
285,-15904,-19364
286,-13815,-23959
287,-12781,-24475
288,1026,-28019
289,17868,-24096
290,24446,-7206
291,22637,8702
292,16354,17292
293,4702,22681
294,-8030,23146
295,-18472,14910
296,-25069,-3322
297,-17593,-20780
298,-591,-25317
299,3836,-25400
300,953,-25791
301,10222,-22101
302,22281,-18743
303,25045,-9568
304,25265,6675
305,24879,11875
306,22673,10825
307,21710,16978
308,16826,21884
309,3453,22409
310,-10718,21480
311,-16079,19603
312,-9099,21426
313,3359,23238
314,9401,22329
315,7817,23297
316,3323,22953
317,-2773,23128
318,-6867,26663
319,-5531,24938
320,-1683,22727
321,-2799,27422
322,-12219,25506
323,-21474,14761
324,-24478,11541
325,-24247,17342
326,-18580,22296
327,-10616,23981
328,-12179,23240
329,-19065,20330
330,-22271,15572
331,-25159,9184
332,-25510,6804
333,-20184,11053
334,-19682,8482
335,-24956,-8261
336,-19794,-24741
337,-5356,-30450
338,-1833,-29046
339,-7991,-26166
340,-6757,-25805
341,-533,-26639
342,4166,-25279
343,13314,-20364
344,23996,-10998
345,27228,-4395
346,25462,-2688
347,22865,7837
348,14754,23144
349,-2732,25183
350,-18495,19409
351,-20687,15859
352,-20257,12821
353,-26224,12478
354,-26616,10612
355,-21736,-877
356,-21032,-15417
357,-15455,-24984
358,-3523,-29001
359,3549,-29172
360,12188,-25332
361,24176,-9882
362,23345,11354
363,11136,19370
364,-236,20729
365,-8914,25261
366,-12794,21356
367,-17758,13538
368,-28349,6899
369,-25322,-10483
370,-6614,-24599
371,3040,-22870
372,6433,-22156
373,17885,-17430
374,25019,2043
375,17704,17994
376,3707,23337
377,-7591,24017
378,-11633,19432
379,-12573,17679
380,-16586,20547
381,-22389,14363
382,-25075,-1709
383,-21896,-15891
384,-16859,-23025
385,-13519,-25311
386,-6935,-26044
387,4661,-25291
388,16646,-19726
389,24951,-9019
390,26632,-294
391,25844,2881
392,27849,6721
393,28111,11340
394,23957,13482
395,16842,18965
396,5743,26015
397,-4260,26095
398,-8830,22969
399,-14145,19669
400,-20872,10696
401,-22450,-3664
402,-19542,-16926
403,-15095,-23263
404,-10302,-23850
405,-8694,-25206
406,-8370,-26570
407,-2954,-25882
408,6995,-25453
409,17329,-20077
410,24384,-9131
411,26423,-4528
412,27196,-2610
413,24113,10726
414,9614,25978
415,-7919,25985
416,-17042,17360
417,-21059,14092
418,-22303,14931
419,-20895,14852
420,-22757,12366
421,-25381,1546
422,-19677,-15083
423,-9539,-23317
424,-3586,-24620
425,3548,-27132
426,17431,-20992
427,26545,-1693
428,20217,17572
429,4090,25910
430,-10451,21504
431,-16798,14184
432,-19660,12035
433,-24896,4180
434,-22220,-13487
435,-7016,-25231
436,5872,-24012
437,13650,-18126
438,24060,-12156
439,27845,239
440,15023,18461
441,-6154,24332
442,-22551,11165
443,-27761,-3908
444,-25690,-7994
445,-25136,-5610
446,-23633,-9713
447,-11997,-21621
448,6065,-25820
449,18985,-19708
450,22984,-15434
451,22879,-12746
452,24659,-4627
453,23027,9061
454,7612,21602
455,-12130,24075
456,-19817,18830
457,-18019,16752
458,-14781,20149
459,-15138,20776
460,-21781,10669
461,-25053,-5887
462,-20267,-17936
463,-17095,-22953
464,-14839,-24656
465,-7258,-26762
466,2235,-28776
467,12209,-24787
468,22471,-15162
469,27620,-8098
470,25533,-8924
471,20963,-15336
472,20188,-18556
473,23496,-15477
474,26373,-10846
475,27316,-5250
476,27061,-575
477,26982,-853
478,26824,-2216
479,24690,-792
480,23658,4800
481,22723,15251
482,18610,20949
483,21090,13824
484,28072,2717
485,24755,-3211
486,22164,-6387
487,27728,-9497
488,25377,-10993
489,21316,-11423
490,24907,-13340
491,21895,-17435
492,16993,-20817
493,22426,-17406
494,26724,-8217
495,26086,-5190
496,24837,-12664
497,17374,-22222
498,9239,-27205
499,9895,-26285
500,11776,-24075
501,9593,-26021
502,9335,-27526
503,10690,-25692
504,8537,-25373
505,8193,-25088
506,15559,-22568
507,21349,-19269
508,20638,-13658
509,21779,-11012
510,21210,-17287
511,14332,-23896
512,13044,-24373
513,16618,-21816
514,15090,-18801
515,15130,-19525
516,17272,-22761
517,14437,-21942
518,14561,-20577
519,18922,-20614
520,19799,-16512
