Sample_Index,Value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2753
21,9111
22,0
23,3676
24,3750
25,27128
26,11733
27,2373
28,3090
29,29707
30,2578
31,205
32,1142
33,5522
34,8041
35,3178
36,3295
37,2358
38,2988
39,7924
40,4570
41,3457
42,10913
43,5830
44,6108
45,7792
46,7690
47,10869
48,5961
49,2153
50,3588
51,5097
52,5917
53,5712
54,5258
55,6020
56,8261
57,7749
58,6943
59,8408
60,8715
61,9697
62,3823
63,234
64,3632
65,7016
66,6005
67,4921
68,5053
69,5786
70,6020
71,6166
72,5170
73,5815
74,8159
75,1494
76,-4644
77,-1128
78,3354
79,2197
80,2006
81,3588
82,1816
83,1479
84,2358
85,2285
86,5581
87,5302
88,-1187
89,-3326
90,-4161
91,-1773
92,1933
93,87
94,-2125
95,190
96,1669
97,-88
98,1303
99,1435
100,-367
101,-264
102,-718
103,-2374
104,-2344
105,-2286
106,-3106
107,-1290
108,761
109,776
110,1889
111,629
112,-2271
113,-1290
114,-792
115,-2037
116,-718
117,-733
118,-3047
119,-850
120,1040
121,249
122,3413
123,4555
124,1596
125,307
126,864
127,395
128,-762
129,-1978
130,-3033
131,-5757
132,-3648
133,1875
134,-1070
135,-2198
136,3017
137,3427
138,1186
139,1918
140,1655
141,527
142,-923
143,-1729
144,-1202
145,-616
146,659
147,2402
148,1303
149,1831
150,2958
151,1669
152,395
153,102
154,-220
155,-1260
156,-2652
157,-4249
158,-4029
159,-425
160,439
161,-586
162,791
163,3779
164,1625
165,-821
166,-455
167,527
168,-513
169,-2491
170,-2256
171,-1583
172,3178
173,3808
174,820
175,1523
176,5551
177,7456
178,5390
179,2973
180,2592
181,2475
182,-909
183,-3589
184,1699
185,5786
186,3618
187,2446
188,3471
189,4702
190,8217
191,8144
192,5698
193,5463
194,5317
195,4555
196,4262
197,5053
198,8510
199,7294
200,7587
201,8671
202,5976
203,11191
204,8745
205,8657
206,9873
207,4614
208,4555
209,4526
210,5097
211,8203
212,7031
213,7309
214,6533
215,5917
216,9404
217,9521
218,8481
219,7573
220,2900
221,2724
222,4321
223,1875
224,4921
225,4687
226,3867
227,8144
228,5507
229,6401
230,7690
231,8906
232,6254
233,1962
234,3559
235,3222
236,3266
237,5917
238,6313
239,7338
240,5156
241,5742
242,5610
243,6621
244,9082
245,4775
246,2124
247,3017
248,3076
249,3925
250,4145
251,4350
252,4804
253,5712
254,6123
255,5756
256,8144
257,9433
258,8979
259,4731
260,1376
261,3603
262,4687
263,6357
264,7001
265,7880
266,8232
267,7529
268,9521
269,6782
270,12172
271,11206
272,8540
273,3823
274,-74
275,6577
276,8027
277,7338
278,8496
279,7119
280,7207
281,4584
282,9785
283,12656
284,10693
285,10634
286,2226
287,629
288,7309
289,7924
290,10634
291,9580
292,6591
293,8100
294,7265
295,8188
296,10209
297,9360
298,10136
299,2548
300,-1685
301,6137
302,5317
303,5346
304,8979
305,2636
306,0
307,2958
308,3735
309,8803
310,8188
311,3149
312,-4600
313,-7720
314,-3663
315,1098
316,2841
317,3881
318,1684
319,-542
320,-2417
321,336
322,4936
323,8115
324,2329
325,-2447
326,-3897
327,-4556
328,981
329,3779
330,3164
331,3911
332,1362
333,-4102
334,1508
335,8129
336,6782
337,7382
338,1772
339,-3692
340,615
341,3515
342,2841
343,6372
344,7368
345,3823
346,878
347,6694
348,8232
349,10166
350,8613
351,2387
352,1464
353,1479
354,981
355,8056
356,6987
357,4995
358,6328
359,3574
360,5039
361,10810
362,11250
363,9785
364,8217
365,3735
366,3208
367,6196
368,4599
369,9418
370,12802
371,6372
372,2241
373,6826
374,11250
375,9741
376,9301
377,6284
378,3852
379,1230
380,747
381,4702
382,9462
383,7397
384,4350
385,2094
386,3647
387,6723
388,7412
389,7280
390,4921
391,1875
392,1713
393,2065
394,2124
395,5302
396,6958
397,5595
398,3281
399,3867
400,7060
401,9169
402,6914
403,3881
404,2680
405,1098
406,380
407,3046
408,5507
409,6416
410,7324
411,2724
412,1083
413,7631
414,10224
415,9257
416,7734
417,2929
418,0
419,-440
420,1772
421,6459
422,10078
423,7441
424,3662
425,3691
426,8027
