Sample_Index,Value
0,0
1,0
2,0
3,0
4,3750
5,2578
6,3295
7,10913
8,5961
9,5258
10,8715
11,6005
12,5170
13,3354
14,2358
15,-4161
16,1669
17,-718
18,761
19,-792
20,1040
21,864
22,-3648
23,1186
24,-1202
25,2958
26,-2652
27,791
28,-513
29,820
30,2592
31,3618
32,5698
33,8510
34,8745
35,5097
36,9404
37,4321
38,5507
39,3559
40,5156
41,2124
42,4804
43,8979
44,7001
45,12172
46,8027
47,9785
48,7309
49,7265
50,-1685
51,0
52,-4600
53,1684
54,2329
55,3164
56,6782
57,2841
58,8232
59,981
60,5039
61,3208
62,2241
63,3852
64,4350
65,4921
66,6958
67,6914
68,5507
69,10224
70,1772
71,8027
72,2167
73,5581
74,2519
75,3134
76,4995
77,6752
78,7587
79,2827
80,3530
81,-2447
82,-3311
83,-4864
84,-1084
85,-2872
86,-132
87,-1407
88,834
89,4248
90,-1421
91,1171
92,-967
93,-396
94,-7017
95,-411
96,-3633
97,-4864
98,-10123
99,-6460
100,805
101,-4087
102,-1304
103,-5318
104,-3824
105,-865
106,6005
107,-2095
108,-3252
109,-8790
110,14
111,5449
112,5639
113,2241
114,-2637
115,11982
116,9799
117,15234
118,12978
119,13579
120,12319
121,11630
122,12963
123,9829
124,336
125,-5420
126,4833
127,6430
128,5961
129,-2857
130,-2461
131,-2359
132,9462
133,8613
134,-894
135,-997
136,-8995
137,-7032
138,-11265
139,-11602
140,-13843
141,-14327
142,-12818
143,-6768
144,-6578
145,-7354
146,-11807
147,-14078
148,-6827
149,-7222
150,-1480
151,-11983
152,-8760
153,-704
154,6386
155,4101
156,2622
157,2241
158,6914
159,13168
160,12084
161,11469
162,7763
163,11308
164,8642
165,11982
166,11572
167,12670
168,12553
169,13754
170,16596
171,13491
172,13139
173,11220
174,10151
175,7529
176,9814
177,5419
178,2812
179,-542
180,-909
181,73
182,1054
183,10751
184,483
185,5156
186,2622
187,468
188,351
189,-4937
190,-8863
191,-5494
192,-5274
193,-6709
194,483
195,-4073
196,5830
197,5932
198,9389
199,5346
200,6328
201,1933
202,-4439
203,-2286
204,-5875
205,-4219
206,-5538
207,-1934
208,-3179
209,3706
210,498
211,4086
212,-1846
213,-4263
214,-7574
215,-8189
216,-7413
217,-11866
218,-3443
219,-9654
220,-5010
221,-6270
222,-7237
223,-7867
224,-9683
225,-7442
226,-10445
227,-8775
228,-8731
229,-8116
230,-12891
231,-2945
232,-5992
233,732
234,-3487
235,-923
236,3310
237,-3941
238,1362
239,-2300
240,-3194
241,629
242,7324
243,-1231
244,4291
245,-1641
246,-2784
247,-2593
248,-2344
249,-1187
250,-4966
251,-586
252,-7867
253,-3648
254,-8760
255,-7691
256,-12803
257,-11514
258,-13360
259,-11661
260,-12408
261,-12891
262,-14502
263,-12774
264,-12422
265,-15645
266,-11001
267,-12393
268,-10577
269,-13785
270,-14444
271,-11866
272,-14532
273,-11529
274,-11382
275,-7720
276,-8292
277,-4952
278,-4776
279,1083
280,-2388
281,-3560
282,-3926
283,-4996
284,-59
285,-5757
286,-674
287,-7837
288,-6124
289,-4747
290,-4234
291,-3458
292,-7251
293,-3326
294,-7442
295,-5084
296,-10005
297,-8658
298,-13448
299,-9888
300,-16539
301,-11412
302,-11133
303,-10474
304,-12789
305,-13726
306,-10752
307,-13389
308,-13360
309,-12701
310,-10254
311,-13843
312,-10796
313,-13799
314,-10972
315,-15323
316,-12144
317,-9712
318,-11924
319,-8321
320,-12232
321,-10635
322,-14781
323,-13770
324,-13946
325,-15806
326,-12789
327,-10723
328,-10796
329,-10064
330,-5596
331,-10767
332,-6915
333,-13360
334,-12056
335,-17681
336,-12730
337,-14546
338,-13682
339,-12188
340,-11412
341,-7149
342,-11895
343,-7178
344,-12950
345,-4791
346,-9639
347,-7955
348,-7969
349,-12071
350,-10840
351,-9639
352,-8555
353,-9932
354,-7017
355,-10533
356,-3897
357,-6197
358,-3985
359,-7325
360,-8790
361,-7046
362,-8482
363,-6006
364,-8350
365,-10342
366,-9976
367,-9185
368,-9815
369,-12349
370,-9302
371,-10313
372,-8292
373,-9683
374,-7896
375,-12100
376,-8350
377,-11719
378,-1700
379,-9537
380,-11646
381,-11280
382,-12115
383,-8101
384,-2681
